code,ballot,winner,valid,spoilt
NW393,P,ANC,17679,465
NW394,N,ANC,57425,1646
NW394,P,ANC,55620,1507
NW395,N,ANC,2568,89
NW395,P,ANC,2538,90
NW396,N,ANC,16299,349
NW396,P,ANC,15617,362
NW401,N,ANC,13861,312
NW401,P,ANC,13604,274
NW402,N,ANC,66951,886
NW402,P,ANC,64691,740
NW403,N,ANC,137264,2018
NW403,P,ANC,133787,1885
NW404,N,ANC,24468,474
NW404,P,ANC,24114,517
WC011,N,DA,16727,147
WC011,P,DA,16363,148
WC012,N,DA,13678,120
WC012,P,DA,13400,111
WC013,N,DA,16590,141
WC013,P,DA,16451,137
WC014,N,DA,32503,377
WC014,P,DA,31319,344
WC015,N,DA,28302,333
WC015,P,DA,27636,332
WC022,N,ANC,25711,481
WC022,P,DA,24056,403
WC023,N,DA,84964,852
WC023,P,DA,83596,850
WC024,N,DA,56908,741
WC024,P,DA,55432,621
WC025,N,DA,49879,500
WC025,P,DA,49066,517
WC026,N,DA,25187,376
WC026,P,DA,24847,358
WC031,N,DA,31982,448
WC031,P,DA,30089,391
WC032,N,DA,34585,313
WC032,P,DA,33032,278
WC033,N,DA,12449,169
WC033,P,DA,12251,160
WC034,N,DA,10086,176
WC034,P,DA,9868,164
WC041,N,DA,8288,76
WC041,P,DA,8166,70
WC042,N,DA,19455,211
WC042,P,DA,19119,180
WC043,N,DA,38259,468
WC043,P,DA,36205,436
WC044,N,DA,62885,670
WC044,P,DA,60407,653
WC045,N,DA,29480,380
WC045,P,DA,28969,293
WC047,N,ANC,19352,200
WC047,P,ANC,17997,233
WC048,N,ANC,26921,280
WC048,P,ANC,25323,251
WC051,N,DA,2735,38
WC051,P,DA,2668,40
WC052,N,DA,4547,47
WC052,P,DA,4491,41
WC053,N,DA,14255,197
WC053,P,DA,14058,177
WCDMA01,N,DA,1500,9
WCDMA01,P,DA,1464,10
WCDMA02,N,DA,1760,30
WCDMA02,P,DA,1493,32
WCDMA03,N,DA,36,1
WCDMA03,P,DA,34,2
WCDMA04,N,DA,4166,58
WCDMA04,P,DA,4058,49
WCDMA05,N,ANC,2467,32
WCDMA05,P,ANC,2391,25
